FIN_name,SWE_name,ENG_name,Sci_name,Species_Abb,Species_code,Sp,Add,Night,Trend,SpB,SpE,AuB,AuE,P,M,Species_Abb_old,Expected,,
luotokirvinen,skärpiplärka,Eurasian Rock Pipit,Anthus petrosus,ANTPET,578,1,0,0,2,60,151,196,365,1,1,ANTSPI,x,,
keltavästäräkki,gulärla,Yellow Wagtail,Motacilla flava,MOTFLA,581,1,0,0,2,47,166,182,365,1,1,MOTFLA,x,,
sitruunavästäräkki,citronärla,Citrine Wagtail,Motacilla citreola,MOTCIT,590,1,1,0,2,47,151,182,365,1,1,MOTCIT,,,
virtavästäräkki,forsärla,Grey Wagtail,Motacilla cinerea,MOTCIN,592,1,1,0,2,47,151,182,365,1,1,MOTCIN,,,
västäräkki,sädesärla,White Wagtail,Motacilla alba,MOTALB,593,1,0,0,2,47,151,196,365,0,1,MOTALB,x,,
tilhi,sidensvans,Bohemian Waxwing,Bombycilla garrulus,BOMGAR,600,1,0,0,2,60,151,182,59,1,1,BOMGAR,x,,
koskikara,strömstare,White-throated Dipper,Cinclus cinclus,CINCIN,601,1,1,0,2,60,151,182,59,1,1,CINCIN,,,
peukaloinen,gärdsmyg,Winter Wren,Troglodytes troglodytes,TROTRO,602,1,0,0,2,60,151,196,365,1,0,TROTRO,x,,
rautiainen,järnsparv,Dunnock,Prunella modularis,PRUMOD,603,1,0,0,2,60,151,196,365,1,1,PRUMOD,x,,
taigarautiainen,sibirisk järnsparv,Siberian Accentor,Prunella montanella,PRUMON,604,1,1,0,2,47,151,182,365,1,1,PRUMON,,,
mustakurkkurautiainen,svartstrupig järnsparv,Black-throated Accentor,Prunella atrogularis,PRUATR,605,1,1,0,2,47,151,182,365,1,1,PRUATR,,,
punarinta,rödhake,European Robin,Erithacus rubecula,ERIRUB,610,1,0,0,2,60,151,196,365,1,0,ERIRUB,x,,
satakieli,näktergal,Thrush Nightingale,Luscinia luscinia,LUSLUS,611,1,0,0,2,47,166,196,365,1,0,LUSLUS,x,,
etelänsatakieli,sydnäktergal,Common Nightingale,Luscinia megarhynchos,LUSMEG,612,1,1,0,2,47,166,182,365,1,1,LUSMEG,,,
sinirinta,blåhake,Bluethroat,Luscinia svecica,LUSSVE,614,1,0,0,2,47,181,182,365,1,0,LUSSVE,,,
sinipyrstö,tajgablåstjärt, Red-flanked Bluetail,Tarsiger cyanurus,TARCYA,616,1,1,0,2,47,181,182,365,1,1,TARCYA,,,
mustaleppälintu,svart rödstjärt,Black Redstart,Phoenicurus ochruros,PHOOCH,620,1,0,0,2,60,166,196,365,1,1,PHOOCH,,,
leppälintu,rödstjärt,Common Redstart,Phoenicurus phoenicurus,PHOPHO,622,1,1,0,2,47,166,196,365,1,0,PHOPHO,x,,
pensastasku,buskskvätta,Whinchat,Saxicola rubetra,SAXTRA,628,1,0,0,2,47,166,182,365,1,1,SAXRUB,x,,
sepeltasku,vitgumpad buskskvätta,Siberian Stonechat,Saxicola maurus,SAXMAU,630,1,1,0,2,47,166,182,365,1,1,SAXMAU,,,
mustapäätasku,svarthakad buskskvätta,European Stonechat,Saxicola rubicola,SAXOLA,634,1,1,0,2,47,166,182,365,1,1,SAXOLA,,,
kivitasku,stenskvätta,Northern Wheatear,Oenanthe oenanthe,OENOEN,639,1,0,0,2,47,166,196,365,0,1,OENOEN,x,,
nunnatasku,nunnestenskvätta,Pied Wheatear,Oenanthe pleschanka,OENPLE,640,1,1,0,2,47,166,182,365,1,1,OENPLE,,,
sepelrastas,ringtrast,Ring Ouzel,Turdus torquatus,TURTOR,653,1,1,0,2,47,166,182,365,1,1,TURTOR,,,
mustarastas,koltrast,Common Blackbird,Turdus merula,TURMER,654,1,0,0,2,60,151,196,59,0,1,TURMER,x,,
ruostesiipirastas,bruntrast,Dusky Thrush,Turdus eunomus,TUREUN,657,1,1,0,2,60,166,182,59,1,1,TUREUN,,,
mustakaularastas,svarthalsad trast,Black-throated Thrush,Turdus atrogularis,TURATR,659,1,1,0,2,60,166,182,59,1,1,TURATR,,,
räkättirastas,björktrast,Fieldfare,Turdus pilaris,TURPIL,662,1,0,0,2,60,151,196,59,0,1,TURPIL,x,,
laulurastas,taltrast,Song Thrush,Turdus philomelos,TURPHI,663,1,0,0,2,60,151,196,59,1,1,TURPHI,x,,
punakylkirastas,rödvingetrast,Redwing,Turdus iliacus,TURILI,664,1,0,0,2,60,151,196,59,1,1,TURILI,x,,
kulorastas,dubbeltrast,Mistle Thrush,Turdus viscivorus,TURVIS,665,1,0,0,2,60,151,196,59,1,1,TURVIS,x,,
pensassirkkalintu,gräshoppsångare,Common Grasshopper Warbler,Locustella naevia,LOCNAE,671,1,1,0,2,47,166,196,365,1,1,LOCNAE,,,
viitasirkkalintu,flodsångare,River Warbler,Locustella fluviatilis,LOCFLU,673,1,1,0,2,47,166,196,365,1,1,LOCFLU,,,
pikkukultarinta,stäppsångare,Booted Warbler,Iduna caligata,IDUCAL,677,1,1,0,2,47,166,182,365,1,1,IDUCAL,,,
kultarinta,härmsångare,Icterine Warbler,Hippolais icterina,HIPICT,684,1,0,0,2,47,166,196,365,1,0,HIPICT,x,,
ruokokerttunen,sävsångare,Sedge Warbler,Acrocephalus schoenobaenus,ACRSCH,687,1,0,0,2,47,166,196,365,1,0,ACRSCH,x,,
kenttäkerttunen,fältsångare,Paddyfield Warbler,Acrocephalus agricola,ACRAGR,688,1,1,0,2,47,166,196,365,1,1,ACRAGR,,,
viitakerttunen,busksångare,Blyth's Reed Warbler,Acrocephalus dumetorum,ACRDUM,689,1,0,0,2,47,166,196,365,1,0,ACRDUM,,,
luhtakerttunen,kärrsångare,Marsh Warbler,Acrocephalus palustris,ACRRIS,690,1,0,0,2,47,166,196,365,1,0,ACRRIS,,,
rytikerttunen,rörsångare,Eurasian Reed Warbler,Acrocephalus scirpaceus,ACRSCI,692,1,0,0,2,47,166,196,365,1,0,ACRSCI,,,
rastaskerttunen,trastsångare,Great Reed Warbler,Acrocephalus arundinaceus,ACRARU,696,1,1,0,2,47,166,196,365,1,1,ACRARU,,,
rusorintakerttu,rödstrupig sångare,Subalpine Warbler,Sylvia cantillans,SYLCAN,699,1,1,0,2,47,166,182,365,1,1,SYLCAN,,,
kääpiökerttu,ökensångare,Asian Desert Warbler ,Sylvia nana,SYLNAN,702,1,1,0,2,47,166,182,365,1,1,SYLNAN,,,
kirjokerttu,höksångare,Barred Warbler,Sylvia nisoria,SYLNIS,703,1,1,0,2,47,166,196,365,1,0,SYLNIS,,,
hernekerttu,ärtsångare,Lesser Whitethroat,Sylvia curruca,SYLCUR,704,1,0,0,2,47,166,196,365,1,0,SYLCUR,x,,
pensaskerttu,törnsångare,Common Whitethroat,Sylvia communis,SYLCOM,705,1,0,0,2,47,166,196,365,1,0,SYLCOM,x,,
lehtokerttu,trädgårdssångare,Garden Warbler,Sylvia borin,SYLBOR,706,1,0,0,2,47,166,196,365,1,0,SYLBOR,x,,
mustapääkerttu,svarthätta,Eurasian Blackcap,Sylvia atricapilla,SYLATR,707,1,0,0,2,47,166,196,365,1,0,SYLATR,x,,
idänuunilintu,lundsångare,Greenish Warbler,Phylloscopus trochiloides,PHYDES,712,1,1,0,2,47,166,196,365,1,1,PHYDES,,,
lapinuunilintu,nordsångare,Arctic Warbler,Phylloscopus borealis,PHYBOR,714,1,1,0,2,47,166,196,365,1,1,PHYBOR,,,
hippiäisuunilintu,kungsfågelsångare,Pallas's Leaf Warbler,Phylloscopus proregulus,PHYPRO,715,1,1,0,2,47,166,196,365,1,1,PHYPRO,,,
taigauunilintu,tajgasångare,Yellow-browed Warbler,Phylloscopus inornatus,PHYINO,716,1,1,0,2,47,166,196,365,1,1,PHYINO,x,H,
kashmirinuunilintu,bergtajgasångare,Hume's Leaf Warbler,Phylloscopus humei,PHYHUM,718,1,1,0,2,47,166,196,365,1,1,PHYHUM,,,
siperianuunilintu,videsångare,Radde's Warbler,Phylloscopus schwarzi,PHYSCH,720,1,1,0,2,47,166,196,365,1,1,PHYSCH,,,
ruskouunilintu,brunsångare,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,721,1,1,0,2,47,166,196,365,1,1,PHYFUS,,,
vuoriuunilintu,bergsångare,Western Bonelli's Warbler,Phylloscopus bonelli,PHYBON,723,1,1,0,2,47,166,196,365,1,1,PHYBON,,,
sirittäjä,grönsångare,Wood Warbler,Phylloscopus sibilatrix,PHYSIB,726,1,0,0,2,47,166,196,365,1,0,PHYSIB,x,,
tiltaltti,gransångare,Common Chiffchaff,Phylloscopus collybita,PHYCOL,727,1,0,0,2,47,166,196,365,1,0,PHYCOL,x,,
pajulintu,lövsångare,Willow Warbler,Phylloscopus trochilus,PHYLUS,733,1,0,0,2,47,166,196,365,1,0,PHYLUS,x,,
hippiäinen,kungsfågel,Goldcrest,Regulus regulus,REGREG,736,1,0,0,2,60,151,196,365,1,1,REGREG,x,H,
tulipäähippiäinen,brandkronad kungsfågel,Common Firecrest,Regulus ignicapilla,REGIGN,737,1,1,0,2,60,166,196,365,1,1,REGIGN,,,
harmaasieppo,grå flugsnappare,Spotted Flycatcher,Muscicapa striata,MUSSTR,738,1,0,0,2,47,166,196,365,0,1,MUSSTR,x,,
pikkusieppo,mindre flugsnappare,Red-breasted Flycatcher,Ficedula parva,FICPAR,740,1,0,0,2,47,166,196,365,1,1,FICPAR,x,,
sepelsieppo,halsbandsflugsnappare,Collared Flycatcher,Ficedula albicollis,FICALB,742,1,1,0,2,47,166,196,365,1,1,FICALB,,,
kirjosieppo,svartvit flugsnappare,European Pied Flycatcher,Ficedula hypoleuca,FICHYP,744,1,0,0,2,47,166,196,365,1,1,FICHYP,x,,
viiksitimali,skäggmes,Bearded Reedling,Panurus biarmicus,PANBIA,747,1,1,0,2,47,151,196,365,1,1,PANBIA,,,
pyrstötiainen,stjärtmes,Long-tailed Tit,Aegithalos caudatus,AEGCAU,748,1,0,0,2,60,151,196,365,1,1,AEGCAU,x,H,
sinitiainen,blåmes,Eurasian Blue Tit,Cyanistes caeruleus,CYACAE,753,1,0,0,2,60,151,196,365,0,1,PARCAE,x,,
talitiainen,talgoxe,Great Tit,Parus major,PARMAJ,754,1,0,0,2,60,151,196,365,0,1,PARMAJ,x,,
kuusitiainen,svartmes,Coal Tit,Periparus ater,PERATE,755,1,0,0,2,60,151,196,365,1,1,PARATE,x,,
töyhtötiainen,tofsmes,European Crested Tit,Lophophanes cristatus,LOPCRI,757,1,0,0,2,60,151,196,365,1,1,PARCRI,x,,
viitatiainen,entita,Marsh Tit,Poecile palustris,POEPAL,759,1,0,0,2,60,151,196,365,1,1,PARPAL,,,
hömötiainen,talltita,Willow Tit,Poecile montanus,POEMON,760,1,0,0,2,60,151,196,365,1,1,PARMON,x,,
lapintiainen,lappmes,Grey-headed Chickadee,Poecile cinctus,POECIN,762,1,1,0,2,60,151,196,365,1,1,PARCIN,,,
pähkinänakkeli,nötväcka,Eurasian Nuthatch,Sitta europaea,SITEUR,765,1,1,0,2,60,151,196,365,1,1,SITEUR,x,,
puukiipijä,trädkrypare,Eurasian Treecreeper,Certhia familiaris,CERFAM,768,1,0,0,2,60,151,196,365,1,1,CERFAM,x,H,
pussitiainen,pungmes,Eurasian Penduline Tit,Remiz pendulinus,REMPEN,770,1,1,0,2,47,166,196,365,1,1,REMPEN,,,
kuhankeittäjä,sommargylling,Eurasian Golden Oriole,Oriolus oriolus,ORIORI,771,1,1,0,2,47,166,196,365,1,1,ORIORI,,,
pikkulepinkäinen,törnskata,Red-backed Shrike,Lanius collurio,LANCOL,776,1,0,0,2,47,166,196,365,1,1,LANCOL,x,,
mustaotsalepinkäinen,svartpannad törnskata,Lesser Grey Shrike,Lanius minor,LANMIN,777,1,1,0,2,47,166,196,365,1,1,LANMIN,,,
isolepinkäinen,varfågel,Great Grey Shrike,Lanius excubitor,LANEXC,778,1,0,0,2,60,166,196,59,1,1,LANEXC,,,
punapäälepinkäinen,rödhuvad törnskata,Woodchat Shrike,Lanius senator,LANSEN,785,1,1,0,2,47,166,196,365,1,1,LANSEN,,,
närhi,nötskrika,Eurasian Jay,Garrulus glandarius,GARGLA,788,1,0,0,2,47,166,196,365,1,1,GARGLA,x,,
harakka,skata,Common Magpie,Pica pica,PICPIC,790,1,0,0,2,60,166,196,365,0,1,PICPIC,x,,
pähkinähakki,nötkråka,Spotted Nutcracker,Nucifraga caryocatactes,NUCCAR,791,1,0,0,2,47,166,196,365,1,1,NUCCAR,x,,
naakka,kaja,Western Jackdaw,Corvus monedula,CORMON,794,1,0,0,2,47,151,196,365,0,1,CORMON,x,,
mustavaris,råka,Rook,Corvus frugilegus,CORFRU,796,1,0,0,2,47,151,196,365,1,1,CORFRU,,,
varis,kråka,Hooded Crow,Corvus corone,CORNIX,797,1,0,0,2,47,151,196,365,0,1,CORNIX,x,,
korppi,korp,Northern Raven,Corvus corax,CORRAX,800,1,0,0,2,47,151,196,365,0,1,CORRAX,x,,
kottarainen,stare,Common Starling,Sturnus vulgaris,STUVUL,803,1,0,0,2,47,151,152,365,1,1,STUVUL,x,,
punakottarainen,rosenstare,Rosy Starling,Pastor roseus,PASROS,807,1,1,0,2,47,166,182,365,1,1,PASROS,,,
varpunen,gråsparv,House Sparrow,Passer domesticus,PASDOM,809,1,0,0,2,47,151,182,365,1,1,PASDOM,,,
pikkuvarpunen,pilfink,Eurasian Tree Sparrow,Passer montanus,PASMON,812,1,0,0,2,47,151,182,365,1,1,PASMON,x,,
peippo,bofink,Common Chaffinch,Fringilla coelebs,FRICOE,814,1,0,0,2,47,151,196,365,0,1,FRICOE,x,,
järripeippo,bergfink,Brambling,Fringilla montifringilla,FRIMON,815,1,0,0,2,47,181,196,365,1,1,FRIMON,x,,
keltahemppo,gulhämpling,European Serin,Serinus serinus,SERSER,817,1,1,0,2,47,181,196,365,1,1,SERSER,,,
viherpeippo,grönfink,European Greenfinch,Carduelis chloris,CARCHL,820,1,0,0,2,32,136,196,31,0,1,CARCHL,x,,
tikli,steglits,European Goldfinch,Carduelis carduelis,CARCAR,821,1,0,0,2,60,151,196,365,1,1,CARCAR,x,,
vihervarpunen,grönsiska,Eurasian Siskin,Carduelis spinus,CARSPI,822,1,0,0,2,60,151,182,59,0,1,CARSPI,x,,
hemppo,hämpling,Common Linnet,Carduelis cannabina,CARCAN,823,1,0,0,2,47,151,196,365,0,1,CARCAN,x,,
vuorihemppo,vinterhämpling,Twite,Carduelis flavirostris,CARRIS,824,1,1,0,2,60,151,196,59,1,1,CARRIS,,,
urpiainen,gråsiska,Common Redpoll,Carduelis flammea,CARMEA,825,1,0,0,2,60,151,196,59,1,1,CARMEA,x,,
tundraurpiainen,snösiska,Arctic Redpoll,Carduelis hornemanni,CARHOR,828,1,1,0,2,60,151,196,59,1,1,CARHOR,,,
kirjosiipikäpylintu,bändelkorsnäbb,Two-barred Crossbill,Loxia leucoptera,LOXLEU,831,1,1,0,2,47,151,182,365,1,1,LOXLEU,x,,
pikkukäpylintu,mindre korsnäbb,Red Crossbill,Loxia curvirostra,LOXCUR,832,1,0,0,2,47,151,182,365,1,1,LOXCUR,x,,
isokäpylintu,större korsnäbb,Parrot Crossbill,Loxia pytyopsittacus,LOXPYT,834,1,0,0,2,47,151,182,365,1,1,LOXPYT,x,,
punavarpunen,rosenfink,Common Rosefinch,Carpodacus erythrinus,CARERY,839,1,0,0,2,47,166,196,365,1,1,CARERY,x,,
taviokuurna,tallbit,Pine Grosbeak,Pinicola enucleator,PINENU,841,1,1,0,2,60,151,196,59,1,1,PINENU,,,
punatulkku,domherre,Eurasian Bullfinch,Pyrrhula pyrrhula,PYRPYR,843,1,0,0,2,47,151,182,46,0,1,PYRPYR,x,,
nokkavarpunen,stenknäck,Hawfinch,Coccothraustes coccothraustes,COCCOC,844,1,0,0,2,60,151,196,365,1,1,COCCOC,x,,
lapinsirkku,lappsparv,Lapland Longspur,Calcarius lapponicus,CALLAP,849,1,0,0,2,60,151,196,365,1,1,CALLAP,x,,
pulmunen,snösparv,Snow Bunting,Plectrophenax nivalis,PLENIV,850,1,0,0,2,47,151,196,46,1,1,PLENIV,x,,
keltasirkku,gulsparv,Yellowhammer,Emberiza citrinella,EMBCIT,854,1,0,0,2,60,151,196,365,0,1,EMBCIT,x,,
peltosirkku,ortolansparv,Ortolan Bunting,Emberiza hortulana,EMBHOR,855,1,0,0,2,47,166,196,365,1,1,EMBHOR,x,,
pohjansirkku,videsparv,Rustic Bunting,Emberiza rustica,EMBRUS,858,1,1,0,2,47,166,196,365,1,1,EMBRUS,,,
pikkusirkku,dvärgsparv,Little Bunting,Emberiza pusilla,EMBPUS,859,1,1,0,2,60,166,196,365,1,1,EMBPUS,,,
kultasirkku,gyllensparv,Yellow-breasted Bunting,Emberiza aureola,EMBAUR,861,1,1,0,2,47,166,196,365,1,1,EMBAUR,,,
pajusirkku,sävsparv,Common Reed Bunting,Emberiza schoeniclus,EMBSCH,863,1,0,0,2,47,151,196,365,0,1,EMBSCH,x,,
harmaasirkku,kornsparv,Corn Bunting,Emberiza calandra,EMBCAL,867,1,1,0,2,47,166,196,365,1,1,EMBCAL,,,
kultatöyhtösirkku,praktsparv,Yellow-throated Bunting,Emberiza elegans,EMBELE,869,1,1,0,2,47,151,196,365,1,1,EMBELE,,,
joutsenlaji,Cygnus (släktet),Unidentified Swan,Cygnus sp,CYGSP,8,0,0,0,2,NA,NA,NA,NA,NA,NA,CYG SP,,,
harmaahanhilaji,Anser (släktet),Unidentified Anser goose,Anser sp,ANSSP,33,0,0,0,2,NA,NA,NA,NA,NA,NA,ANS SP,,,
hanhilaji,ob. gås,Unidentified Goose,Anser / Branta,ANS/BRA,47,0,0,0,2,NA,NA,NA,NA,NA,NA,ANS/BRA,,,
sorsalaji,Anas (släktet),Anas duck species,Anas sp,ANASP,83,0,0,0,2,NA,NA,NA,NA,NA,NA,ANA SP,,,
tukkasotka / lapasotka,vigg / bergand,Tufted Duck/Greater Scaup,Aythya fuligula / Aythya marila,AYTFUL/AYTMAR,94,0,0,0,2,NA,NA,NA,NA,NA,NA,AYT F/M,,,
mustalintulaji,Melanitta (släktet),Unidentified Scoter,Melanitta sp,MELSP,115,0,0,0,2,NA,NA,NA,NA,NA,NA,MEL SP,,,
tukkakoskelo / isokoskelo,småskrake / storskrake,Red-breasted Merganser / Goosander,Mergus serrator / Mergus merganser,MERSER/MERMER,123,0,0,0,2,NA,NA,NA,NA,NA,NA,MER S/M,,,
iso vesilintu,stor sjöfågel,Unidentified Large waterfowl,magnus Anatidae,IV,128,0,0,0,2,NA,NA,NA,NA,NA,NA,IV,,,
pieni vesilintu,liten sjöfågel,Unidentified Small waterfowl,parvus Anatidae,PV,129,0,0,0,2,NA,NA,NA,NA,NA,NA,PV,,,
vesilintu,sjöfågel,Waterfowl,Anatidae sp,V,130,0,0,0,2,NA,NA,NA,NA,NA,NA,V,,,
amerikanjääkuikka / jääkuikka,svartnäbbad islom / vitnäbbad islom,Great Northern / Yellow-billed Diver,Gavia immer / Gavia adamsii,GAVIMM/GAVADA,155,0,0,0,2,NA,NA,NA,NA,NA,NA,GAVIMM/GAVADA,,,
kuikkalaji,Gavia (släktet),Diver species,Gavia sp,GAVSP,156,0,0,0,2,NA,NA,NA,NA,NA,NA,GAV SP,,,
silkkiuikku / härkälintu,skäggdopping / gråhakedopping,Great Crested / Red-necked Grebe,Podiceps cristatus / Podiceps grisegena,PODCRI/PODGRI,160,0,0,0,2,NA,NA,NA,NA,NA,NA,POD C/G,,,
mustakurkku-uikku / mustakaulauikku,svarthakedopping / svarthalsad dopping,Slavonian / Black-necked Grebe,Podiceps auritus / Podiceps nigricollis,PODAUR/PODNIG,163,0,0,0,2,NA,NA,NA,NA,NA,NA,PODAUR/PODNIG,,,
uikkulaji,Podiceps (släktet),Unidentified Grebe species,Podiceps sp,PODSP,164,0,0,0,2,NA,NA,NA,NA,NA,NA,POD SP,,,
merimetsolaji,Phalacrocorax (släktet),Unidentified Cormorant species,Phalacrocorax sp,PHAAXSP,180,0,0,0,2,NA,NA,NA,NA,NA,NA,PHAAXSP,,,
hanhi / merimetso,gås / skarv,Unidentified Goose or cormorant species,Anserini / Phalacrocorax,ANS/BRA/PHA,181,0,0,0,2,NA,NA,NA,NA,NA,NA,ANS/BRA/PHA,,,
arosuohaukka / niittysuohaukka,stäpphök / ängshök,Hen / Pallied / Montagu's Harrier,Circus macrourus / Circus pygargus,CIRMAC/CIRPYG,231,0,0,0,2,NA,NA,NA,NA,NA,NA,CIR M/P,,,
sinisuohaukka / arosuohaukka / niittysuohaukka,blå kärrhök / stäpphök / ängshök,Pallied / Montagu's Harrier,Circus cyaneus / Circus macrourus / Circus pygargus,CIRCYA/CIRMAC/CIRPYG,232,0,0,0,2,NA,NA,NA,NA,NA,NA,CIR CMP,,,
suohaukkalaji,Circus (släktet),Unidentified Harrier species,Circus sp,CIRSP,233,0,0,0,2,NA,NA,NA,NA,NA,NA,CIR SP,,,
varpushaukkalaji,Accipiter (släktet),Unidentified Accipiter hawk,Accipiter sp,ACCSP,238,0,0,0,2,NA,NA,NA,NA,NA,NA,ACC SP,,,
hiirihaukkalaji,Buteo (släktet),Unidentified Buteo buzzard,Buteo sp,BUTSP,244,0,0,0,2,NA,NA,NA,NA,NA,NA,BUT SP,,,
mehiläishaukka / hiirihaukkalaji,ob. vråk,Unidentified buzzard,Pernis / Buteo,PER/BUT,245,0,0,0,2,NA,NA,NA,NA,NA,NA,PER/BUT,,,
kiljukotka / pikkukiljukotka,större skrikörn / mindre skrikörn,Unidentified Spotted Eagle,Aquila clanga / Aquila pomarina,AQUCLA/AQUPOM,249,0,0,0,2,NA,NA,NA,NA,NA,NA,AQUCLA/AQUPOM,,,
kiljukotka / pikkukiljukotka / arokotka,större skrikörn / mindre skrikörn / stäppörn,Unidentified Spotted Eagle / Steppe Eagle,Aquila clanga / Aquila pomarina / Aquila pomarina,AQUCLA/AQUPOM/AQUNIP,250,0,0,0,2,NA,NA,NA,NA,NA,NA,AQUCLA/AQUPOM/AQUNIP,,,
kotkalaji (Aquila),Aquila (släktet),Unidentified Aquila,Aquila sp,AQUSP,257,0,0,0,2,NA,NA,NA,NA,NA,NA,AQU SP,,,
kotkalaji,ob. örn,Unidentified Eagle,Haliaetus / Aquila,HAL/AQU,258,0,0,0,2,NA,NA,NA,NA,NA,NA,HAL/AQU,,,
jalohaukkalaji,Falco (släktet),Unidentified Falcon,Falco sp,FALSP,273,0,0,0,2,NA,NA,NA,NA,NA,NA,FAL SP,,,
iso jalohaukka,stor falk,Unidentified Large Falcon,magnus Falco,IFAL,274,0,0,0,2,NA,NA,NA,NA,NA,NA,IFAL,,,
pieni jalohaukka,liten falk,Unidentified Small Falcon,parvus Falco,PFAL,275,0,0,0,2,NA,NA,NA,NA,NA,NA,PFAL,,,
iso päiväpetolintu,stor dagrovfågel,Unidentified Large Raptor,magnus Accipitriformes,IP,276,0,0,0,2,NA,NA,NA,NA,NA,NA,IP,,,
pieni päiväpetolintu,liten dagrovfågel,Unidentified Small Raptor,parvus Accipitriformes,PP,277,0,0,0,2,NA,NA,NA,NA,NA,NA,PP,,,
kurmitsalaji,Pluvialis (släktet),Unidentified Pluvialis plover,Pluvialis sp,PLUSP,309,0,0,0,2,NA,NA,NA,NA,NA,NA,PLU SP,,,
tyllilaji,Charadrius (släktet),Unidentified Charadrius plover,Charadrius sp,CHASP,323,0,0,0,2,NA,NA,NA,NA,NA,NA,CHA SP,,,
kuovilaji,Numenius (släktet),Unidentified Numenius,Numenius sp,NUMSP,328,0,0,0,2,NA,NA,NA,NA,NA,NA,NUM SP,,,
sirrilaji,Calidris (släktet),Unidentified Calidris sandpiper,Calidris sp,CALSP,357,0,0,0,2,NA,NA,NA,NA,NA,NA,CAL SP,,,
taivaanvuohilaji,Gallinago (släktet),Unidentified Snipe,Gallinago sp,GALSP,384,0,0,0,2,NA,NA,NA,NA,NA,NA,GAL SP,,,
iso kahlaaja,stor vadare,Unidentified large wader,IK (iso kahlaaja),IK,391,0,0,0,2,NA,NA,NA,NA,NA,NA,IK,,,
keskikokoinen kahlaaja,medelstor vadare,Unidentified Middle size wader,KK (Keskikokoinen kahlaaja),KK,392,0,0,0,2,NA,NA,NA,NA,NA,NA,KK,,,
pieni kahlaaja,liten vadare,Unidentified small wader,PK (pieni kahlaaja),PK,393,0,0,0,2,NA,NA,NA,NA,NA,NA,PK,,,
kahlaaja,ob. vadare,Unidentified wader,K (kahlaaja),K,396,0,0,0,2,NA,NA,NA,NA,NA,NA,K,,,
vesilintu / kahlaaja,sjöfågel / vadare,Unidentified waterfowl / wader,V / K (vesilintu / kahlaaja),V/K,397,0,0,0,2,NA,NA,NA,NA,NA,NA,V/K,,,
kihulaji,Stercorarius (släktet),Unidentified Skua,Stercorarius sp,STERCSP,403,0,0,0,2,NA,NA,NA,NA,NA,NA,STERCO,,,
ruokki / kiislalaji,ob. alka,Razorbill / Unidentified Murre,Alca / Uria,ALC/URI,410,0,0,0,2,NA,NA,NA,NA,NA,NA,URI/ALC,,,
hietatiira / riuttatiira,sandtärna / kentsk tärna,Sandwich / Gull-billed Tern,Gelochelidon nilotica / Sterna sandvicensis,GELNIL/STESAN,419,0,0,0,2,NA,NA,NA,NA,NA,NA,GELNIL/STESAN,,,
kalatiira / lapintiira,fisktärna / silvertärna,Common / Arctic Tern,Sterna hirundo / Sterna paradisaea,STEHIR/STEAEA,422,0,0,0,2,NA,NA,NA,NA,NA,NA,STE H/A,,,
tiiralaji (Sterna),Sterna (släktet),Unidentified Tern,Sterna sp,STERNSP,423,0,0,0,2,NA,NA,NA,NA,NA,NA,STERNSP,,,
grönlanninlokki / isolokki,vitvingad trut / vittrut,Iceland / Glaugous Gull,Larus glaucoides / Larus hyperboreus,LARGLA/LARHYP,462,0,0,0,2,NA,NA,NA,NA,NA,NA,LARGLA/LARHYP,,,
lokkilaji,Larus (släktet),Unidentified Gull,Larus sp,LARSP,465,0,0,0,2,NA,NA,NA,NA,NA,NA,LAR SP,,,
selkälokki / harmaalokki / isolokki / merilokki,ob. trut,Unidentified Large Gull,magnus Larus,ILAR,467,0,0,0,2,NA,NA,NA,NA,NA,NA,ILAR,,,
pikkulokki / pikkukajava / naurulokki / kalalokki,ob. mås,Unidentified Small Gull,parvus Laridae,PLAR,468,0,0,0,2,NA,NA,NA,NA,NA,NA,PLAR,,,
kyyhkylaji (Columba),Columba (släktet),Unidentified Columba Dove,Columba sp,COLSP,473,0,0,0,2,NA,NA,NA,NA,NA,NA,COL SP,,,
turturikyyhkylaji,Streptopelia (släktet),Unidentified Streptopelia dove,Streptopelia sp,STREPSP,482,0,1,0,2,NA,NA,NA,NA,NA,NA,STREPSP,,,
sarvipöllölaji,Asio (släktet),Long-/Short-eared Owl,Asio sp,ASISP,505,0,1,0,2,NA,NA,NA,NA,NA,NA,ASI SP,,,
keskikokoinen tikka,medelstor hackspett,Unidentified Middle-sized Woodpecker,medium Picidae,KT,539,0,0,0,2,NA,NA,NA,NA,NA,NA,KT,,,
haarapääsky X räystäspääsky,ladusvala X hussvala,Barn Swallow x House Martin,Hirundo rustica X Delichon urbicum,HIRRUSXDELURB ,562,0,1,0,2,NA,NA,NA,NA,NA,NA,HIRRUSXDELURB ,,,
pääsky,ob. svala,Unidentified Swallow / Martin,Riparia / Hirundo / Delichon,RIP/HIR/DEL,566,0,0,0,2,NA,NA,NA,NA,NA,NA,R/H/D,,,
isokirvinen / mongoliankirvinen,större piplärka / mongolpiplärka,Richard's / Blyth's Pipit,Anthus richardi / Anthus godlewskii,ANTRIC/ANTGOD,569,0,1,0,2,NA,NA,NA,NA,NA,NA,ANTRIC/ANTGOD,,,
