Lajinumero,Lajinimi,Lajilyhenne,Korkea prioriteetti,Kirjoittaja,Aineistoversio,Vuosi,Kuvaaja,Päivämäärä,"Kuvauspaikka (Halias, ellei toisin mainittu)",Viety
84,nuolihaukka,FALSUB,,,,,Markus Varesvuo,24.09.2006,,
85,tunturihaukka,FALRUS,,,,,,,,
86,muuttohaukka,FALPER,,,,,Kari Eischer,03.09.2009,,
87,luhtakana,RALAQU,,,,,,,,
88,luhtahuitti,PORPOR,,,,,,,,
89,ruisrääkkä,CRECRE,,,,,,,,
90,liejukana,GALCHL,,,,,,,,
91,nokikana,FULATR,,,,,,,,
92,kurki,GRUGRU,K,Aki Aintila,1.1.,2019,Aki Aintila,13.04.2018,,
93,avosetti,RECAVO,,,,,,,,
94,meriharakka,HAEOST,,Pekka Topp,1.1.,2019,Jonne von Hertzen,06.04.2018,,
95,kapustarinta,PLUAPR,,Aki Aintila,1.1.,2019,Jarkko Santaharju,19.09.2013,,
96,tundrakurmitsa,PLUSQU,,Aki Aintila,1.1.,2019,Markus Varesvuo,18.09.2004,,
97,töyhtöhyyppä,VANVAN,K,Aki Aintila,1.1.,2019,Aki Aintila,10.03.2016,,
98,pikkutylli,CHADUB,,,,,Aleksi Lehikoinen,18.05.2017,,
99,tylli,CHAHIA,,,,,Markus Varesvuo,18.09.2004,,
100,keräkurmitsa,CHAMOR,,,,,,,,
101,pikkukuovi,NUMPHA,,Aki Aintila,1.1.,2019,Petteri Lehikoinen,07.05.2008,,
102,kuovi,NUMARQ,K,Aki Aintila,1.1.,2019,Jonne von Hertzen,23.04.2018,,
103,mustapyrstökuiri,LIMLIM,,,,,Kari Soilevaara,11.09.1999,,
104,punakuiri,LIMLAP,,Pekka Topp,1.1.,2019,Markus Varesvuo,13.09.2006,,
105,karikukko,AREINT,,,,,Aleksi Lehikoinen,18.05.2017,,
106,isosirri,CALCAN,,,,,,,,
107,suokukko,CALPUG,,,,,,,,
108,jänkäsirriäinen,CALFAL,,,,,,,,
109,kuovisirri,CALFER,,,,,,,,
110,lapinsirri,CALTEM,,,,,,,,
111,pulmussirri,CALALB,,,,,,,,
112,suosirri,CALALP,,Pekka Topp,1.1.,2019,,,,
113,merisirri,CALMAR,,,,,,,,
114,pikkusirri,CALUTA,,,,,,,,
115,vesipääsky,PHALOB,,,,,,,,
116,isovesipääsky,PHAFUL,,,,,,,,
117,rantakurvi,XENCIN,,,,,,,,
118,rantasipi,ACTHYP,K,,,,,,,
119,metsäviklo,TRIOCH,,,,,,,,
120,mustaviklo,TRIERY,,,,,,,,
121,valkoviklo,TRINEB,,Pekka Topp,1.1.,2019,,,,
122,lampiviklo,TRISTA,,,,,,,,
